,position.lat,position.lng,Restaurants,Shops,Gym,Cluster,total number of places
0,20.3542,85.82171,100,100,4,2,204
1,20.35757,85.82183,84,72,1,2,157
2,20.35226,85.82224,100,100,7,2,207
3,20.34745,85.81748,22,6,1,1,29
4,20.36082,85.8093,29,1,0,1,30
5,20.34701,85.81825,27,8,1,1,36
6,20.34913,85.82179,54,100,5,3,159
7,20.35117,85.82343,100,100,10,2,210
8,20.34703,85.81889,25,15,1,1,41
9,20.35502,85.8249,100,100,7,2,207
10,20.35016,85.82446,100,100,9,2,209
11,20.36263,85.82219,22,31,0,0,53
12,20.3507,85.82527,100,100,9,2,209
13,20.34921,85.82597,78,100,9,2,187
14,20.35269,85.82732,100,100,7,2,207
15,20.3435,85.81927,60,41,3,0,104
16,20.35579,85.82924,100,100,6,2,206
17,20.34324,85.82256,62,84,3,3,149
18,20.34801,85.82784,33,100,3,3,136
19,20.34716,85.82845,29,80,3,3,112
20,20.36215,85.80192,0,0,0,1,0
21,20.34007,85.81223,96,52,0,2,148
22,20.36242,85.82962,27,82,2,3,111
23,20.36503,85.82768,24,56,1,0,81
24,20.34027,85.8212,61,51,1,0,113
25,20.36109,85.83089,29,99,2,3,130
26,20.35125,85.83215,25,46,1,0,72
27,20.34848,85.83166,8,12,0,1,20
28,20.34253,85.82737,28,34,1,0,63
29,20.33809,85.81422,13,26,0,1,39
30,20.35553,85.83326,22,49,1,0,72
31,20.35095,85.83299,23,43,1,0,67
32,20.35881,85.83328,10,18,1,1,29
33,20.34926,85.83336,15,23,0,1,38
34,20.36251,85.83294,20,63,1,0,84
35,20.3511,85.83437,21,40,1,0,62
36,20.35463,85.83487,25,44,1,0,70
37,20.36357,85.83297,17,54,1,0,72
38,20.35526,85.83597,19,41,1,0,61
39,20.33573,85.8195,51,100,1,3,152
40,20.36414,85.83367,15,37,0,0,52
41,20.34565,85.83384,1,3,0,1,4
42,20.33607,85.82164,42,100,1,3,143
43,20.36123,85.83521,3,20,0,1,23
44,20.33655,85.82375,36,71,1,3,108
45,20.36196,85.83522,2,23,0,1,25
46,20.33698,85.80509,33,32,2,0,67
47,20.33706,85.80448,32,29,2,0,63
48,20.3618,85.83588,2,15,0,1,17
49,20.37133,85.82879,13,24,3,1,40
50,20.3707,85.8299,17,28,3,0,48
51,20.33426,85.81988,56,100,2,3,158
52,20.33506,85.82306,43,100,1,3,144
53,20.34719,85.83637,6,4,0,1,10
54,20.36823,85.83294,13,17,1,1,31
55,20.33351,85.81435,35,100,0,3,135
56,20.3605,85.83757,1,6,0,1,7
57,20.36701,85.83448,11,15,0,1,26
58,20.36336,85.83748,2,7,0,1,9
59,20.37029,85.83282,17,25,1,1,43
60,20.33725,85.83046,1,3,0,1,4
61,20.336,85.82886,3,7,0,1,10
62,20.33586,85.80152,10,3,2,1,15
63,20.33545,85.82879,3,8,0,1,11
64,20.37552,85.82643,9,27,2,1,38
65,20.37338,85.83111,12,23,3,1,38
66,20.37338,85.83129,12,23,3,1,38
67,20.33039,85.81504,39,100,1,3,140
68,20.33183,85.80636,39,100,2,3,141
69,20.33265,85.82789,3,9,0,1,12
70,20.32978,85.81283,31,100,2,3,133
71,20.3796,85.82169,4,10,0,1,14
72,20.34897,85.84298,4,4,0,1,8
73,20.34706,85.84288,4,4,0,1,8
74,20.37964,85.82682,6,29,0,1,35
75,20.32866,85.82325,45,100,1,3,146
76,20.32923,85.82751,4,7,0,1,11
77,20.34675,85.84442,4,3,0,1,7
78,20.32635,85.81122,27,90,3,3,120
79,20.3269,85.82342,70,100,0,2,170
80,20.32638,85.80919,27,100,4,3,131
81,20.32874,85.80174,16,23,0,1,39
82,20.32883,85.83094,3,5,0,1,8
83,20.32436,85.82575,3,5,0,1,8
84,20.32243,85.81299,22,36,3,0,61
85,20.32406,85.80093,2,9,0,1,11
86,20.32638,85.83502,1,3,0,1,4
87,20.32367,85.80055,1,8,0,1,9
88,20.32928,85.84075,0,2,0,1,2
89,20.32661,85.84144,0,3,0,1,3
90,20.31735,85.81565,26,75,4,3,105
91,20.3257,85.84061,0,3,0,1,3
92,20.32672,85.84208,0,3,0,1,3
93,20.32509,85.84069,0,3,0,1,3
94,20.32666,85.84385,0,3,0,1,3
95,20.34785,85.77057,0,1,0,1,1
96,20.31174,85.82904,19,40,0,0,59
97,20.31178,85.82933,21,40,0,0,61
98,20.31679,85.84544,3,58,1,0,62
99,20.30866,85.82937,12,5,1,1,18
